estatistica,GO,MG,PR,RJ
media_gastos,24.5625,28.873333333333335,31.746666666666666,24.8475
desvio_gastos,14.6225998030446,11.618611506257249,25.978095259917215,16.50908310597533
media_votos,24.7,32.83,32.65,24.85
desvio_votos,19.55345323295436,24.552443870213818,34.23449576085502,24.60989367442831
