CD_PROGRAMA,UF,CONCEITO
16003012013P2,TO,3
16003012175P2,TO,3
16003012006P6,TO,3
16003012012P6,TO,4
16003012161P1,TO,3
16003012015P5,TO,4
16003012160P5,TO,3
16003012004P3,TO,5
16003012010P3,TO,3
16003012011P0,TO,4
16003012009P5,TO,4
16003012003P7,TO,5
16003012171P7,TO,3
16003012016P1,TO,4
16003012157P4,TO,3
16003012017P8,TO,4
16003012005P0,TO,3
16003012159P7,TO,4
16003012174P6,TO,3
17010004004P3,TO,3
17010004003P7,TO,4
17010004001P4,TO,3
16003012002P0,TO,4
17010004002P0,TO,4
17010004005P0,TO,5
20001010053P3,MA,3
20001010011P9,MA,4
20001010019P0,MA,3
20001010055P6,MA,3
20001010046P7,MA,3
20001010045P0,MA,3
20001010056P2,MA,A
20001010052P7,MA,3
20001010017P7,MA,5
20001010027P2,MA,3
20001010004P2,MA,4
20001010020P8,MA,4
20001010009P4,MA,5
20001010014P8,MA,4
20001010031P0,MA,4
20001010008P8,MA,4
20001010042P1,MA,3
20001010047P3,MA,3
20001010024P3,MA,4
20001010023P7,MA,3
20001010021P4,MA,3
20001010054P0,MA,A
20001010032P6,MA,3
20001010048P0,MA,3
20001010029P5,MA,4
20001010051P0,MA,3
20001010043P8,MA,3
20001010012P5,MA,3
20001010015P4,MA,5
20001010003P6,MA,6
20001010050P4,MA,4
20001010026P6,MA,3
20001010044P4,MA,3
20001010041P5,MA,4
20001010049P6,MA,4
20001010039P0,MA,3
20001010013P1,MA,5
20001010022P0,MA,4
20001010006P5,MA,3
20001010005P9,MA,4
20001010028P9,MA,4
20001010025P0,MA,3
20002017042P8,MA,3
20002017001P0,MA,4
20002017041P1,MA,3
20002017039P7,MA,4
20002017004P9,MA,3
20002017040P5,MA,4
20002017008P4,MA,5
20002017003P2,MA,3
20002017007P8,MA,4
20002017005P5,MA,5
20002017009P0,MA,3
20002017002P6,MA,5
20002017010P9,MA,4
20003013002P2,MA,3
20003013001P6,MA,3
20009011042P2,MA,A
20009011040P0,MA,4
20009011041P6,MA,3
20009011001P4,MA,4
21014000039P9,MA,4
20009011003P7,MA,3
21001014022P3,PI,4
21001014007P4,PI,4
21001014030P6,PI,3
21001014013P4,PI,4
21001014031P2,PI,4
21001014024P6,PI,6
21001014082P6,PI,3
21001014020P0,PI,4
21001014011P1,PI,3
21001014032P9,PI,3
21001014076P6,PI,3
21001014075P0,PI,3
21001014012P8,PI,5
21001014008P0,PI,4
21001014080P3,PI,4
21001014016P3,PI,4
21001014005P1,PI,5
21001014084P9,PI,3
21001014015P7,PI,5
21001014078P9,PI,3
21001014026P9,PI,3
21001014021P7,PI,4
21001014023P0,PI,4
21001014001P6,PI,5
21001014083P2,PI,3
21001014077P2,PI,3
21001014004P5,PI,4
21001014003P9,PI,4
21001014009P7,PI,4
21001014002P2,PI,4
21001014017P0,PI,3
21001014027P5,PI,4
21001014028P1,PI,4
21002010071P0,PI,A
21002010070P4,PI,3
21002010001P2,PI,5
21003017002P5,PI,3
21003017001P9,PI,3
21009015001P7,PI,3
21015007001P8,MA,3
21016003001P4,MA,3
21018006001P7,MA,3
22001018011P4,CE,4
22001018048P5,CE,6
22001018020P3,CE,4
22001018004P8,CE,6
22001018033P8,CE,5
22001018172P8,CE,4
22001018046P2,CE,5
22001018040P4,CE,6
22001018035P0,CE,7
22001018174P0,CE,3
22001018087P0,CE,4
22001018071P7,CE,4
22001018171P1,CE,3
22001018042P7,CE,6
22001018003P1,CE,7
22001018053P9,CE,4
22001018059P7,CE,4
22001018018P9,CE,5
22001018061P1,CE,4
22001018080P6,CE,5
22001018028P4,CE,5
22001018037P3,CE,4
22001018025P5,CE,5
25016016039P8,CE,4
22001018009P0,CE,5
22001018179P2,CE,A
22001018027P8,CE,4
22001018058P0,CE,4
22001018072P3,CE,4
22001018178P6,CE,4
22001018065P7,CE,4
22001018081P2,CE,3
22001018052P2,CE,5
22001018001P9,CE,4
22001018054P5,CE,4
22001018086P4,CE,3
22001018014P3,CE,5
22001018015P0,CE,4
22001018175P7,CE,3
22001018036P7,CE,6
22001018034P4,CE,5
22001018032P1,CE,4
22001018043P3,CE,4
22001018008P3,CE,5
22001018019P5,CE,4
22001018012P0,CE,5
22001018055P1,CE,3
22001018173P4,CE,3
22001018063P4,CE,4
22001018176P3,CE,4
22001018079P8,CE,3
22001018084P1,CE,4
22001018007P7,CE,7
22001018177P0,CE,3
25003011009P0,CE,5
22001018049P1,CE,4
22001018017P2,CE,4
22001018044P0,CE,6
22001018013P7,CE,4
22001018064P0,CE,3
22001018088P7,CE,3
22001018047P9,CE,6
22001018085P8,CE,3
22001018078P1,CE,4
22001018010P8,CE,7
22001018002P5,CE,7
22001018031P5,CE,5
22001018082P9,CE,4
22001018073P0,CE,3
22001018006P0,CE,6
22001018021P0,CE,7
22001018023P2,CE,5
22001018024P9,CE,5
22001018083P5,CE,4
22002014007P3,CE,5
22002014003P8,CE,6
22002014010P4,CE,3
22002014012P7,CE,3
22002014008P0,CE,4
22002014001P5,CE,5
22002014011P0,CE,4
22002014002P1,CE,4
22002014004P4,CE,5
22002014005P0,CE,5
22002014009P6,CE,4
22003010074P9,CE,4
22003010072P6,CE,3
22003010024P1,CE,3
22003010073P2,CE,3
22003010001P1,CE,6
22003010027P0,CE,4
22003010004P0,CE,4
22003010015P2,CE,3
22003010023P5,CE,3
22003010022P9,CE,4
22003010012P3,CE,5
22003010028P7,CE,4
22003010025P8,CE,4
22003010006P3,CE,4
22003010018P1,CE,4
22003010007P0,CE,4
22003010008P6,CE,5
22003010010P0,CE,5
22003010070P3,CE,3
22003010014P6,CE,3
22003010019P8,CE,4
22003010076P1,CE,A
22003010026P4,CE,5
22003010009P2,CE,4
22003010071P0,CE,3
22003010075P5,CE,A
22003010013P0,CE,4
22004017003P0,CE,4
22004017004P7,CE,3
22004017002P4,CE,3
22005013002P0,CE,3
22005013003P7,CE,4
22005013006P6,CE,A
22005013004P3,CE,5
22005013005P0,CE,3
22005013001P4,CE,4
22008012006P5,CE,3
22008012001P3,CE,4
22008012002P0,CE,3
22008012005P9,CE,3
22008012003P6,CE,3
22008012004P2,CE,4
22008012075P7,CE,4
22011013004P0,CE,3
22011013006P2,CE,3
22011013005P6,CE,3
22011013003P3,CE,4
22011013002P7,CE,3
22011013001P0,CE,3
22011030001P5,BA,A
22012010001P0,CE,4
22016015001P2,CE,3
22021019001P2,CE,3
22033017001P7,CE,4
22033017003P0,CE,A
22033017002P3,CE,3
22042008004P6,PI,4
22042008003P0,PI,4
22042008001P7,PI,4
22042008002P3,PI,5
23001011001P1,RN,5
23001011025P8,RN,5
23001011041P3,RN,3
23001011007P0,RN,5
23001011054P8,RN,5
23001011172P0,RN,3
23001011027P0,RN,4
23001011072P6,RN,4
23001011043P6,RN,5
23001011036P0,RN,5
23001011020P6,RN,4
24001015081P8,RN,4
23001011004P0,RN,4
23001011010P0,RN,5
23001011175P0,RN,4
23001011030P1,RN,5
23001011038P2,RN,4
23001011028P7,RN,5
23001011069P5,RN,4
23001011031P8,RN,6
23001011003P4,RN,6
23001011068P9,RN,3
23001011066P6,RN,4
23001011009P2,RN,4
23001011044P2,RN,4
23001011070P3,RN,4
23001011037P6,RN,5
23001011022P9,RN,5
23001011024P1,RN,5
23001011176P6,RN,3
23001011061P4,RN,3
23001011062P0,RN,3
23001011021P2,RN,3
23001011174P3,RN,4
23001011053P1,RN,4
23001011029P3,RN,5
23001011011P7,RN,5
23001011032P4,RN,4
23001011018P1,RN,5
23001011178P9,RN,3
23001011170P8,RN,5
23001011026P4,RN,7
23001011076P1,RN,3
23001011013P0,RN,4
23001011073P2,RN,4
23001011057P7,RN,4
23001011012P3,RN,6
23001011182P6,RN,3
23001011179P5,RN,3
23001011181P0,RN,3
23001011059P0,RN,5
23001011078P4,RN,4
23001011034P7,RN,3
23001011183P2,RN,3
23001011005P7,RN,5
23001011039P9,RN,4
23001011080P9,RN,4
23001011079P0,RN,3
23001011077P8,RN,4
23001011063P7,RN,4
23001011042P0,RN,3
23001011052P5,RN,5
23001011060P8,RN,4
23001011040P7,RN,4
23001011015P2,RN,7
23001011058P3,RN,5
23001011023P5,RN,4
23001011033P0,RN,5
23001011056P0,RN,4
23001011177P2,RN,3
23001011046P5,RN,5
23001011180P3,RN,3
23001011171P4,RN,4
